"","PaperId","AuthorId","AffiliationId","AuthorSequenceNumber","OriginalAuthor"
"1","90731717",2271477335,4068193,3,"S. Prokić"
"2","90731717",2273308021,4068193,2,"Lj. Petrašinović-Stojkanović"
"3","90731717",2657195541,4068193,1,"B. Živanović"
"4","90740481",1982923918,4068193,1,"Zeljko Djurisic"
"5","90740481",2002494479,4068193,2,"Milenko Djuric"
"6","90740481",2080020581,4068193,3,"Jelisaveta Krstivojevic"
"7","90740481",2302979679,4068193,4,"Jovan Trifunovic"
"8","90767008",2296410788,4068193,1,"Zoran Majkić"
"9","90783242",681340731,NA,2,"Menka Petkovska"
"10","90992562",2159916035,199691007,1,"Nelson Roberto Manzoni de Oliveira"
"11","91536150",2102021857,159365519,1,"Perica Strbac"
"12","91536150",2303484734,4068193,2,"Milan Tuba"
"13","91671922",663185598,NA,3,"Purenovic M. Milovan"
"14","91671922",2282888963,NA,1,"Aleksandar R. Despic"
"15","91671922",2431946826,NA,2,"Dragutin M. Drazic"
"16","91709581",2052820547,NA,10,"Miodrag Ostojic"
"17","91709581",2142948378,NA,3,"Dejan Orlic"
"18","91801856",1980390374,NA,1,"Kosta Došen"
"19","91847331",168793371,4068193,2,"V. Dondur"
"20","91847331",2666768754,NA,1,"D. Jovanovic"
"21","91847331",2677484950,NA,4,"B. Grbic"
"22","91847331",2708862382,NA,3,"A. Terlecki-Baricevic"
"23","91852242",2040002144,4068193,1,"Dubravka Mijuca"
"24","91878560",1962958439,NA,2,"L. R. Cander"
"25","92071624",341299672,4068193,1,"Veljko Potkonjak"
"26","92813687",2679006793,NA,1,"M. Jevtic"
"27","92822413",1272714352,4068193,1,"Ljiljana Djekic"
"28","92822413",2201653493,4068193,2,"Dragana Vasiljevic"
"29","92822413",2246533342,4068193,3,"Marija Primorac"
"30","93491672",341299672,4068193,2,"Veljko Potkonjak"
"31","93829317",2772000095,NA,1,"Slobodan D. Jovanović"
"32","94031530",2491373759,NA,2,"Stana MAKSIMOVIć"
"33","94031530",2893798565,NA,1,"Zoran MAKSIMOVIć"
"34","94267487",1984454093,4068193,1,"D. S. Mitrinović"
"35","94297528",2920675787,154425047,1,"Dejan B. Popovic"
"36","94346460",2690166376,4068193,1,"Vesna Nikolić-Ristanović"
"37","94358434",2005309685,4068193,2,"Branka B. Kostic"
"38","94358434",2100444776,4068193,1,"Miloje M. Kostic"
"39","94489995",458746472,NA,3,"Petar M. Seferović"
"40","94489995",2799647861,NA,2,"Arsen D. Ristić"
"41","94817398",2082777861,4068193,4,"S. Jovanovic"
"42","94864467",1984454093,4068193,1,"D. S. Mitrinović"
"43","94947897",2058865964,4068193,2,"Zoran S. Bojkovic"
"44","95098561",2053832383,4068193,2,"Siniša Nešković"
"45","95098561",2686685655,NA,1,"Radovan Cvetković"
"46","95462847",198545322,4068193,3,"Cvetana Krstev"
"47","95462847",1976962441,4068193,4,"Ivan Obradović"
"48","95462847",2006480665,4068193,6,"Mladen Stanojević"
"49","95462847",2047150294,4068193,5,"Gordana Pavlović-Lažetić"
"50","95462847",2061579312,4068193,1,"Duško Vitas"
"51","95462847",2188038007,4068193,2,"Ljubomir Popović"
"52","95572542",2661607488,NA,1,"Dragan Z. Šaletic"
