"","PaperId","AuthorId","AffiliationId","AuthorSequenceNumber","OriginalAuthor"
"1","648748856",2154686820,199691007,1,"Raimundo Braga Sobrinho"
"2","650279768",2115203836,4068193,1,"Miloš Burger"
"3","650279768",2151554130,4068193,2,"Zoran Nikolić"
"4","650551574",2640065147,59361560,1,"Marlene Rodríguez Macias"
"5","652955071",1995448619,NA,2,"Nataša Ćuković Ignjatović"
"6","652955071",2075884566,NA,1,"Dušan Ignjatović"
"7","652955071",2156626183,NA,3,"Milica Jovanović Popović"
"8","652988837",1534099151,4068193,4,"Jovanka M. Filipović"
"9","652988837",1982941714,4068193,5,"Gordana S. Ušćumlić"
"10","652988837",1995555852,4068193,2,"Bojan Đ. Božić"
"11","652988837",2129551503,4068193,1,"Marija M. Babić"
"12","652988837",2153585986,4068193,6,"Simonida L.-J. Tomić"
"13","652988837",2914635161,4068193,3,"Biljana Đ. Božić"
"14","653210375",1626579654,4068193,1,"Dragica Sisovic"
"15","654378860",572460402,4068193,6,"Katarina Karljiković-Rajić"
"16","654378860",2083397132,4068193,5,"Sote Vladimirov"
"17","654378860",2136874665,4068193,1,"Bojan Marković"
"18","654378860",2552015607,4068193,4,"Vedrana Savić"
"19","654378860",2553552910,4068193,2,"Janko Ignjatović"
"20","654378860",2580322232,4068193,3,"Mirjana Vujadinović"
"21","657200857",2120092352,NA,4,"M. M. Ristić"
"22","657200857",2194248214,NA,1,"Č. Jovalekić"
"23","657200857",2611276482,NA,3,"V. Petrović"
"24","657848332",2020399213,4068193,4,"Božica Bojović"
"25","657848332",2123602264,4068193,1,"Aleksandra Debeljković Mitrović"
"26","746106371",2681490190,NA,1,"Токарев Владимир Федорович"
"27","750343091",2134433265,4068193,3,"Zvezdana Baščarević"
"28","750343091",2141668403,4068193,1,"Nataša Marjanović"
"29","750343091",2154792018,4068193,2,"Miroslav Komljenović"
"30","750343091",2160858930,4068193,4,"Violeta Nikolić"
"31","750789216",1581212495,4068193,3,"J. B. Bajat"
"32","750789216",2052880240,4068193,4,"V. B. Miskovic-Stankovic"
"33","750789216",2658723925,NA,1,"B. V. Jegdic"
"34","750789216",2907979859,4068193,2,"J. P. Popic"
"35","751227864",2107941513,NA,1,"Delic Dejan"
"36","756252915",2893389701,NA,6,"Rolf Gruetter"
"37","756707599",2905375327,NA,4,"В. А. Александрин"
"38","759013672",2364255956,NA,2,"Milica Obradovic"
"39","759013672",2382689615,NA,3,"Natasa Petrovic"
"40","759013672",2638932007,NA,1,"Vojislav Radosavljevic"
"41","759698038",2178815661,NA,1,"Antônio Roberto Marchese de Medeiros"
"42","764517691",1275661823,4068193,6,"D.V. Tošić"
"43","765019347",1411288978,4068193,5,"Selmina Nurkovic"
"44","765019347",1636541279,4068193,1,"Tatjana Gazibara"
"45","765019347",1916694716,4068193,4,"Ilma Kurtagic"
"46","765019347",1991387252,4068193,6,"Biljana Rancic"
"47","765019347",2120960956,4068193,3,"Nikolina Kovacevic"
"48","765019347",2142449943,4068193,7,"Sanja Radovanovic"
"49","765654661",2298722031,1313323035,1,"B. S. Darkhovskii"
"50","766526586",2061517101,4068193,5,"Veljko Milutinović"
"51","766526586",2324058740,4068193,2,"Nikola Bežanić"
"52","766627943",1990494869,4068193,5,"Aleksandar Kremenović"
"53","766627943",2057390187,4068193,2,"Bratislav Antić"
"54","767858084",2030838337,4068193,9,"Tanja Cirkovic Velickovic"
"55","769420932",2123562855,4068193,1,"Violeta Vasilić"
"56","769420932",2306435062,4068193,2,"Dragan Blagojević"
"57","769691853",1803577214,5124864,2,"Mor Mishkovsky"
"58","779318834",2157876597,NA,1,"Жулинский Сергей Федорович"
"59","780605520",2641582500,NA,3,"W Jonczyk"
"60","784187142",2703060440,NA,1,"Goran Gavrić"
"61","786434863",2312004548,4068193,5,"S.B. Vrhovac"
"62","786434863",2608077927,4068193,2,"Z.M. Jakšić"
"63","786434863",2682163942,4068193,1,"S. Živković"
"64","786434863",2892870041,4068193,3,"D. Arsenović"
"65","786983451",1965255765,4068193,3,"Olivera Ciraj-Bjelac"
"66","786983451",2069585016,4068193,4,"Jelica Kaljevic"
"67","786983451",2082226221,4068193,2,"Predrag Marinkovic"
"68","786983451",2404723320,4068193,1,"Jelena Stankovic"
"69","786983451",2570161599,4068193,6,"Djordje Lazarevic"
"70","786983451",2570592497,4068193,5,"Danijela Arandjic"
"71","787779164",667346837,4068193,3,"V. Koteski"
"72","787779164",2024816001,4068193,2,"K. Batalović"
"73","787779164",2071917011,4068193,4,"J. Radaković"
"74","787779164",2085149803,4068193,1,"J. Belošević-Čavor"
"75","787967244",2492567336,4068193,2,"Tatjana Kosić"
"76","787967244",2749348420,4068193,1,"Aleksandra Krstić-Furundžić"
"77","789366615",2660367171,NA,1,"Токарев Владимир Федорович"
"78","791552830",2165340782,4068193,1,"R. Stikic"
"79","800005964",2311346051,162577319,1,"Vladimir Dragovic"
"80","800048238",2306553704,4068193,2,"Vladan Tubić"
"81","805328932",1953962088,NA,3,"Ivan Milenković"
"82","805328932",2000903003,4068193,6,"Nenad Keča"
"83","805586266",1930121498,4068193,1,"Stoimir Kolarević"
"84","805586266",1932685631,4068193,2,"Margareta Kračun-Kolarević"
"85","805586266",1989235828,4068193,8,"Jelena Knežević-Vukčević"
"86","805586266",2014918076,4068193,9,"Branka Vuković-Gačić"
"87","805586266",2142305523,4068193,3,"Jovana Kostić"
"88","805586266",2165664267,4068193,6,"Zoran Gačić"
"89","805586266",2302451700,4068193,7,"Momir Paunović"
"90","821633464",1987832064,4068193,1,"I Pecinar"
"91","821633464",2006594901,4068193,3,"D Rancic"
"92","821633464",2043345417,4068193,4,"M Terzic"
"93","821633464",2074002936,4068193,2,"S Pekic Quarrie"
"94","821633464",2165340782,4068193,5,"R Stikic"
"95","822253356",2551681598,NA,2,"I. Radisavljevic"
"96","822253356",2703747355,4068193,6,"O. Eric-Cekic"
"97","822894008",2657857130,NA,1,"Токарев Владимир Федорович"
"98","824521622",2657576000,NA,1,"Z. Witkiewicz"
"99","829379261",2907897648,4068193,3,"B. Stojanovic"
"100","832327861",2301435163,4068193,1,"Dusan Popovic"
"101","841596680",2019693263,4068193,3,"Lj. Matović"
"102","841596680",2104700090,4068193,5,"N. Novaković"
"103","841596680",2583050836,4068193,1,"S. Kurko"
"104","841596680",2630832494,4068193,2,"B. Paskaš-Mamula"
"105","841596680",2780167751,4068193,4,"J. Grbović Novaković"
"106","842295068",1982187199,4068193,4,"Vladan B. Stevanović"
"107","842831752",2684188607,NA,1,"M. Lenhardt"
"108","842878089",2163786876,879563668,5,"Flávio Ruas de Moraes"
"109","844862220",222157251,4068193,1,"Predrag V. Pejovic"
"110","844862220",435213964,4068193,2,"Mirjana Simic"
"111","845365331",2057700034,4068193,1,"Aleksandra R. Nesic"
"112","845365331",2235176589,4068193,3,"Sava J. Velickovic"
"113","845365331",2248740380,4068193,4,"Dusan G. Antonovic"
"114","845365331",2798797517,4068193,2,"Antonije Onjia"
"115","847846371",808877325,4068193,1,"Nevana Stajcic"
"116","848244052",2051591939,4068193,3,"Aleksandar Bulajić"
"117","848244052",2617355499,4068193,1,"Katarina Popović"
"118","848244052",2661215722,4068193,2,"Maja Maksimović"
"119","848815907",13932995,4068193,3,"M. Ljujic"
"120","848815907",684540713,4068193,6,"D. Radojkovic"
"121","848815907",815562785,4068193,2,"A. Divac Rankov"
"122","848815907",893843690,4068193,1,"J. Kusic-Tisma"
"123","848815907",2136958459,4068193,4,"N. Pejanovic"
"124","848815907",2563496073,4068193,5,"B. Stanic"
"125","850136173",692119645,4068193,8,"Velimir R. Radmilović"
"126","850136173",692119645,181369854,8,"Velimir R. Radmilović"
"127","850136173",2276090149,4068193,7,"Vuk V. Radmilović"
"128","850136173",2276090149,181369854,7,"Vuk V. Radmilović"
"129","850361716",1870602096,NA,2,"J. Wiatr"
"130","853039976",2222947882,4068193,3,"Natasa Trisovic"
"131","853039976",2238232495,4068193,2,"Tasko Maneski"
"132","853039976",2723628531,4068193,1,"Ezedine Allaboudi"
"133","853387809",2738937777,1294627699,6,"V. Kolganov"
"134","856389015",2717189696,4068193,1,"Bojan Gavrilović"
"135","856995236",2569593567,4068193,2,"Vesna Popović"
"136","862413262",416895092,NA,4,"Stevo K. Jaćimovski"
"137","862668835",896616576,NA,3,"S. Domonji"
"138","862668835",2438459172,NA,1,"L. Borota"
"139","862668835",2443802019,NA,2,"R. Bajic"
"140","862668835",2524759171,NA,5,"P. Petrovic"
"141","862668835",2525256479,NA,4,"B. Prstojevic"
"142","863839074",2035293159,4068193,1,"Dragan S. Milutinovic"
"143","863963535",2092427737,4068193,1,"Mladen S. Banjanin"
"144","863963535",2092427737,194184283,1,"Mladen S. Banjanin"
"145","863963535",2330000779,4068193,3,"Zlatan M. Stojković"
"146","863963535",2425679752,4068193,2,"Milan S. Savić"
"147","865105406",2313676571,4068193,8,"I. Smiljanić"
"148","865105406",2468753621,4068193,6,"M. Pandurović"
"149","865105406",2601089787,4068193,1,"G. Milutinović-Dumbelović"
"150","865105406",2608176019,4068193,5,"S. Lukić"
"151","865105406",2634025625,4068193,2,"I. Božović-Jelisavc̆ić"
"152","865105406",2721761378,4068193,4,"G. Kac̆arević"
"153","867023680",2799063007,NA,2,"Jovan Zubović"
"154","867111441",1970705185,96415178,3,"Dragoljub Sekulović"
"155","867111441",2007696945,96415178,2,"Miodrag Regodić"
"156","867111441",2028030752,1306956679,4,"Vladan Tadić"
"157","867111441",2494490582,NA,1,"Goran Ćirović"
"158","867111441",2582543250,96415178,5,"Ljubomir Gigović"
"159","869972457",2222988242,4068193,2,"J. Jovanović"
"160","869972457",2239205839,4068193,3,"B. Stanković"
"161","869972457",2310690645,4068193,5,"B. Adnadjević"
"162","869972457",2719948354,NA,4,"S. Ostojić"
"163","870175313",1997816667,4068193,2,"Zoran Kadelburg"
"164","870185537",1989858672,4068193,8,"Marija Djuric"
"165","870185537",2159712018,4068193,7,"Zlatko Rakocevic"
"166","870185537",2339307611,4068193,1,"Djordje Antonijevic"
"167","870185537",2423485611,4068193,2,"Petar Milovanovic"
"168","870185537",2576353929,4068193,4,"Dragan Ilic"
"169","870631204",684017202,4068193,1,"Filip Andrić"
"170","872874798",2706435599,142476485,1,"K. Felch"
"171","885282576",2090868542,1331164456,1,"P. Ranitović"
"172","885282576",2583579363,1331164456,3,"B. Đorović"
"173","885282576",2628406117,1331164456,2,"I. Tot"
"174","886002112",2646540602,4068193,5,"M. Grajic"
"175","887938580",1982607979,4068193,2,"Zorana Ferjancic"
"176","887938580",2033628767,NA,1,"Jasna Marjanovic"
"177","887938580",2137920546,4068193,3,"Radomir N. Saicic"
"178","889006570",2715996924,NA,1,"Z. Pop-Stojanović"
"179","892024244",2250013535,NA,4,"Z. Burzić"
"180","892024244",2437319460,NA,5,"M. Arsić"
"181","892024244",2466212510,4068193,1,"M. Burzić"
"182","896816231",2695329918,NA,1,"Gorana Isailovic"
"183","897739830",1571232257,4068193,2,"Aleksandar Baucal"
"184","898254520",2134655729,889315371,3,"Jonel Subić"
"185","900065476",707533572,4068193,7,"N.V. Krstajić"
"186","900065476",1278529003,4068193,1,"B.M. Jović"
"187","900065476",1988853303,NA,4,"Lj. Gajić-Krstajić"
"188","900065476",2149304197,4068193,2,"U.Č. Lačnjevac"
"189","900065476",2203101309,4068193,3,"V.D. Jović"
"190","900065476",2690744600,4068193,6,"D. Poleti"
"191","901560633",2894409093,NA,2,"B. Radjenović"
"192","904730919",1930121498,4068193,14,"Stoimir Kolarević"
"193","904730919",1932685631,4068193,13,"Margareta Kračun-Kolarević"
"194","904730919",2004982432,4068193,8,"Aleksandra Uskoković"
"195","904730919",2020543931,4068193,2,"Duško Blagojević"
"196","904730919",2025543023,4068193,7,"Svetlana Dinić"
"197","904730919",2040743280,4068193,9,"Nevena Grdović"
"198","904730919",2075848224,4068193,4,"Predrag Simonović"
"199","904730919",2134914320,4068193,1,"Mirjana Mihailović"
"200","904730919",2192259925,4068193,6,"Melita Vidaković"
"201","904730919",2302451700,4068193,16,"Momir Paunović"
"202","904730919",2316054120,4068193,11,"Miloš Đorđević"
"203","904730919",2509769923,4068193,12,"Anja Tolić"
"204","904730919",2549097547,4068193,10,"Jelena Arambašić-Jovanović"
"205","905447034",211714515,4068193,2,"Ninoslav Djelic"
"206","905447034",1983629236,4068193,3,"Jevrosima Stevanovic"
"207","905447034",1990949593,4068193,7,"Zoran Stanimirovic"
"208","905447034",2035955298,4068193,5,"Dejan Radovic"
"209","905447034",2061457406,4068193,4,"Marina Sokovic"
"210","905447034",2094682121,4068193,1,"Milena Radakovic"
"211","906213599",2681286887,NA,3,"Božidar Savić"
"212","907106342",2113557634,4068193,1,"Miroslav Pavlović"
"213","907106342",2342408494,4068193,3,"Vladan Ćosović"
"214","908832838",771701809,4068193,4,"S. Sakan"
"215","908832838",1908968266,4068193,3,"D. Đorđević"
"216","908832838",1990016252,4068193,12,"B. Tubić"
"217","908832838",2032160594,4068193,9,"O. Kostić"
"218","908832838",2076025542,4068193,10,"D. Pavlović"
"219","908832838",2108664262,4068193,8,"S. Jarić"
"220","908832838",2162144067,4068193,1,"P. Pavlović"
"221","908832838",2286437564,4068193,2,"M. Mitrović"
"222","908832838",2302451700,4068193,13,"M. Paunović"
"223","908832838",2314273621,4068193,11,"N. Marinković"
"224","910459148",2129386989,NA,3,"D.M. Davidovic"
"225","910459148",2489690769,NA,5,"S. Tadic"
"226","910459148",2614798456,NA,1,"S.J. Stankovic"
"227","910459148",2647263195,NA,2,"R.D. Ilic"
"228","910459148",2657708855,NA,4,"M. Petrovic"
"229","910459148",2666108409,NA,6,"M. Kovacevic"
"230","910463213",2041350513,4068193,1,"Zoran Stojadinović"
"231","910463213",2137576879,4068193,3,"Branislav Ivković"
"232","910463213",2492012829,4068193,2,"Dejan Marinković"
"233","911226911",2465011204,NA,3,"Monica Reyes-Santos"
"234","912365411",261795500,4068193,1,"Dragan Kreculj"
"235","912365411",2042210800,4068193,2,"Boško Rašuo"
"236","914229911",2782851971,4068193,1,"Liubomir T. Grujic"
"237","914668969",2055861237,4068193,1,"Dragica Vujadinović"
"238","916173959",2089593787,4068193,1,"Djordje Stratimirovic"
"239","916173959",2112565529,4068193,3,"Vladimir Miljkovic"
"240","916173959",2281042503,149461666,4,"Suzana Blesic"
"241","916173959",2463035863,4068193,2,"Darko Sarvan"
"242","916820443",2080427713,889315371,1,"Marko Jeločnik"
"243","916820443",2709378247,889315371,3,"Marijana Jovanović"
"244","926105339",371332613,4068193,6,"Aleksandra Perić-Grujić"
"245","926105339",584599505,NA,1,"Isidora Deljanin"
"246","926105339",1920069671,4068193,5,"Milica Tomašević"
"247","926105339",1933435989,4068193,3,"Gordana Vuković"
"248","926105339",2116546065,4068193,7,"Mirjana Ristić"
"249","926105339",2251904390,4068193,4,"Mira Aničić Urošević"
"250","926105339",2304046883,NA,2,"Davor Antanasijević"
"251","934245608",2516642615,NA,3,"Naum Pinkhasovich Soschin"
"252","935875661",2120738546,NA,2,"Aldeida Bašić"
"253","940256635",2102585190,NA,1,"Шевченко Александр Валерьевич"
"254","942860516",2294507976,4068193,1,"Djordje Kalicanin"
"255","942860516",2315640808,4068193,2,"Vladan Knezevic"
"256","942914014",1855480589,4068193,1,"D. D. Markushev"
"257","942914014",1972874619,4068193,3,"M. D. Rabasović"
"258","942914014",2476917505,4068193,5,"D. M. Todorović"
"259","942914014",2848497630,4068193,4,"S. Galović"
"260","943268779",1275406137,4068193,2,"Nenad Gligoric"
"261","943268779",2137884710,4068193,1,"Ana Uzelac"
"262","943268779",2310598932,4068193,3,"Srdjan Krco"
"263","943435309",1913447723,4068193,2,"Ž. Đorđević"
"264","943435309",2294814653,4068193,1,"S. Vesković"
"265","943468462",2657927865,NA,1,"Ivana Popović"
"266","943563187",2138107762,189158943,1,"L. de Polo"
"267","944783041",115542,4068193,1,"Sanja Blagdanić"
"268","944783041",1892628010,4068193,2,"Zorica Kovačević"
"269","945762506",2524872568,NA,1,"Sasa Vujic"
"270","945762506",2525703647,NA,3,"Milana Spanovic"
"271","945762506",2525797414,NA,2,"Momcilo Majic"
"272","946387391",455664979,4068193,1,"Martin B. Popević"
"273","946387391",1974169641,4068193,5,"Jovica Milovanović"
"274","946387391",1992946903,4068193,4,"Dejan Nešić"
"275","946387391",2014621374,4068193,3,"Ljudmila Nagorni-Obradović"
"276","946387391",2296370626,4068193,2,"Anđela Milovanović"
"277","946387391",2786852151,4068193,6,"Aleksandar P. S. Milovanović"
"278","946850057",707910933,4068193,1,"Nada Dimković"
"279","946850057",1861426195,4068193,3,"Jelena Marinković"
"280","946850057",2289809848,4068193,2,"Ljubica Djukanović"
"281","946857392",2870021062,2800451603,1,"Rumpf Holger"
"282","948587447",2650279527,NA,2,"T. Wierzbowska"
"283","951470211",599239836,NA,1,"Фролов Илья Руфинович"
"284","953676754",2717740901,NA,3,"K. Setlak"
"285","954042422",2781389060,1288882113,1,"S. V. Perovic"
"286","954610943",31634163,4068193,8,"Olgica Djurković-Djaković"
"287","954610943",1923223980,4068193,5,"Nada Ćosić"
"288","954610943",2021671235,4068193,2,"Vlado Teodorović"
"289","954610943",2138634867,4068193,7,"Ivana Klun"
"290","954610943",2142314177,4068193,6,"Mirjana Dimitrijević"
"291","954610943",2465394282,4068193,3,"Dragan Vasilev"
"292","954610943",2467461021,4068193,1,"Duško Ćirović"
"293","954610943",2720207132,4068193,4,"Marija Marković"
"294","955566283",433303912,4068193,5,"V. Desimirović"
"295","955566283",2025284889,NA,6,"Dj Minić"
"296","955566283",2156014574,4068193,3,"D. Djaković"
"297","955566283",2653354353,4068193,4,"Ž. Martinović"
"298","955566283",2716172814,4068193,1,"D. Raković"
"299","955566283",2919338846,4068193,2,"Dj Koruga"
"300","955778477",2427209034,NA,3,"J Gascón Brustenga"
"301","957236257",2309086460,NA,1,"Юрій Васильович Реков"
"302","959766838",2189417186,4068193,1,"M. Kuzmanović"
"303","959766838",2638679973,4068193,3,"M. Martić"
"304","959766838",2682257688,4068193,2,"B. A. Gušavac"
"305","960204381",2616697434,4068193,1,"Miodrag A. Jovanovic"
"306","962028432",303277205,4068193,1,"Bojan P. Bondžić"
"307","962511050",2773219821,NA,1,"Slavoljub Tasić"
"308","962784303",1027117413,4068193,2,"Nataša Buha"
"309","962784303",2026742393,4068193,1,"Milica Gligorovic"
"310","963685362",608612335,2802421035,1,"Francisco P Navarro Reynoso"
"311","967048754",1632364701,NA,2,"Miomir Vukobratovic"
"312","967048754",2136636686,NA,1,"Dusko Katic"
"313","968136268",1974748030,NA,5,"Ivana Stojicevic"
"314","968136268",2126353517,NA,3,"Marijana Stojanovic"
"315","968136268",2429925901,NA,4,"Emilija Marinkovic"
"316","968477300",1919891923,NA,1,"Vladimir Matić"
"317","968477300",1924827532,NA,4,"Žarko Markov"
"318","968477300",2070386577,NA,2,"Aleksandar Lebl"
"319","968477300",2128588235,NA,3,"Dragan Mitić"
"320","968703792",73594474,4068193,4,"Goran Cirović"
"321","969361039",2338966973,NA,5,"K. Górak"
"322","974239199",2214050899,4068193,1,"A.S. Grujić"
"323","974427740",1962259807,4068193,2,"Vera V. Kovačević-Vujčić"
"324","974472573",2096490084,4068193,1,"Svetlana Štrbac"
"325","974472573",2159712018,4068193,3,"Zlatko Rakočević"
"326","974472573",2489156041,4068193,2,"Milutin Smiljanić"
"327","974571521",1989674712,4068193,1,"Sandro Radovanovic"
"328","974571521",2436664608,4068193,3,"Ana Kovacevic"
"329","974571521",2436664608,84392919,3,"Ana Kovacevic"
"330","974571521",2921564675,4068193,2,"Milan Vukicevic"
"331","974571521",2921564675,84392919,2,"Milan Vukicevic"
"332","975308785",2302451700,4068193,3,"Momir Paunović"
