"","PaperId","AuthorId","AffiliationId","AuthorSequenceNumber","OriginalAuthor"
"1",568836139,2096510981,4068193,1,"Natalija Bogdanov"
"2",568836139,2799217077,4068193,2,"Vesna Rodic"
"3",570769452,235938809,4068193,5,"Radica Stepanović-Petrović"
"4",570769452,291967329,4068193,1,"Ana Micov"
"5",570769452,2122409136,4068193,2,"Maja Tomić"
"6",570769452,2225572458,4068193,4,"Nenad Ugrešić"
"7",570769452,2334552037,4068193,3,"Uroš Pecikoza"
"8",570970655,2717977795,4068193,1,"S. Milošević"
"9",574264400,1974430315,4068193,1,"Katarina Ljubisavljević"
"10",574518681,2720527865,NA,4,"A. Kuzmanovic"
"11",575633877,341299672,NA,2,"Veljko Potkonjak"
"12",576012217,1741128548,4068193,4,"Saša Ranđelović"
"13",576012217,1993502165,4068193,2,"Mihail Arandarenko"
"14",576012217,2250661064,4068193,1,"Milojko Arsić"
"15",576012217,2287283912,4068193,3,"Branko Radulović"
"16",576012217,2678838639,4068193,5,"Irena Janković"
"17",577370390,2032518437,4068193,3,"Igor Petrović"
"18",577370390,2069414077,4068193,4,"Vladana Špica"
"19",577370390,2079046587,4068193,1,"Tatjana Pekmezović"
"20",577370390,2298550416,4068193,5,"Aleksandra Tomić"
"21",577370390,2418397359,4068193,6,"Vladimir S. Kostić"
"22",577370390,2608071863,4068193,2,"Milica Ječmenica-Lukić"
"23",577650647,2096676541,1331212208,1,"Marina Pepic"
"24",577812588,718257336,4068193,1,"Ismail Ajaj"
"25",577812588,734737378,4068193,7,"Aleksandar Marinković"
"26",577812588,1233339861,4068193,5,"Miloš Milčić"
"27",577812588,1926071228,4068193,3,"Milica Rančić"
"28",577812588,2036157878,4068193,4,"Dušan Mijin"
"29",577812588,2159809162,4068193,2,"Jasmina Markovski"
"30",577812588,2432542053,4068193,6,"Maja Jovanović"
"31",580850423,1969647918,4068193,1,"Jelena Obradovic"
"32",581114012,1965255765,NA,3,"O. Ciraj-Bjelac"
"33",581371955,2223466434,4068193,2,"Dušan Prodanović"
"34",581371955,2523249181,4068193,1,"Čedo Maksimović"
"35",585260960,2071812381,NA,3,"Srdjan V. Belosevic"
"36",585260960,2090039158,NA,2,"M. Sijercic"
"37",585260960,2678734084,NA,1,"Zarko M. Stevanovic"
"38",586732036,622908384,4068193,5,"Аleksandar Marinković"
"39",587641346,451971,34661156,1,"Grozdanka Gojkov"
"40",587641346,2108747012,34661156,3,"Aleksandra Gojkov Rajić"
"41",587641346,2798279114,34661156,2,"Aleksandar Stojanović"
"42",587719212,206281204,NA,3,"Dragana Maćešić-Petrović"
"43",587719212,2010696252,NA,1,"Aleksandra Đurić-Zdravković"
"44",587719212,2030750599,NA,2,"Mirjana Japundža-Milisavljević"
"45",593800569,2020477510,4068193,2,"N. Tadić"
"46",593800569,2078296955,4068193,5,"B. Grbić"
"47",593800569,2435290922,4068193,1,"S. Stojadinović"
"48",593800569,2462115915,4068193,6,"R. Vasilić"
"49",593800569,2625940012,4068193,4,"B. Stojadinović"
"50",593800569,2740853019,4068193,3,"N. Radić"
