"","PaperId","AuthorId","AffiliationId","AuthorSequenceNumber","OriginalAuthor"
"1","324459516",2332659374,4068193,1,"Jana Lipkovski"
"2","325195347",124182945,4068193,1,"Slobodan N. Vukosavic"
"3","325434766",2649411875,NA,1,"B. S. Jovanović"
"4","326216691",2797982896,1294671590,4,"Jean Louis Gass"
"5","327575816",2637460441,879563668,2,"Carolina Kimie Mori"
"6","328699304",2051775800,4068193,3,"Bojana Obradovic"
"7","328702244",2039038083,4068193,1,"Bojan Janković"
"8","329267583",2863348518,NA,2,"J. L. Sarrao"
"9","330759842",2623091216,NA,4,"J. Dukic"
"10","330759842",2636218195,NA,1,"S. Boskovic"
"11","330759842",2679782274,NA,2,"S. Zec"
"12","330759842",2688968897,NA,3,"M. Ninic"
"13","332477774",2673874317,NA,1,"R.K. Janev"
"14","332593195",1988392293,4068193,2,"Ljubica Milović"
"15","332593195",2311227793,4068193,3,"M. Zrilić"
"16","332917833",2653646786,4068193,2,"Zč. Vučinić"
"17","332917833",2696300608,NA,1,"M. Vuletić"
"18","336757526",1972104373,4068193,1,"B. R. Babic"
"19","337582866",2650304483,NA,1,"Serhiy Kozmenko"
"20","339637516",2695386365,NA,1,"Азарова Валентина Витальевна"
"21","340813559",2108673957,NA,2,"S. Ninković"
"22","340813559",2321111850,NA,3,"M. Nešković"
"23","340813559",2679588379,NA,1,"J. Miljuš-Đukić"
"24","341035803",1231772717,NA,6,"Bojana Slavkovic"
"25","341035803",1990937767,NA,1,"Srdjan Pasic"
"26","341035803",2061871095,1304155728,7,"Nada Pejnovic"
"27","341035803",2088272929,NA,4,"Dobrila Veljkovic"
"28","341035803",2129565651,NA,2,"Aleksandra Minic"
"29","341035803",2309082594,NA,3,"Predrag Minic"
"30","341175222",1782101529,NA,4,"Vojin Gordanic"
"31","341175222",2113048483,1304155728,3,"Ljiljana Jankovic"
"32","341208341",2644838459,NA,2,"B.D. Janković"
"33","341208341",2654995032,NA,1,"Z. Knežević"
"34","341228603",1984017612,4068193,3,"Slaven Prodanovic"
"35","341228603",2008594872,4068193,2,"Gordana Surlan-Momirovic"
"36","341228603",2674703437,4068193,4,"Dragica Zoric"
"37","341736079",2656027025,NA,2,"K. D. Maglić"
"38","341736079",2693052738,NA,1,"D. Z. Pavičić"
"39","342196668",1998324464,4068193,1,"Vladan Devedzic"
"40","342409457",2500074071,4068193,1,"L. Radojević"
"41","342775724",2224656195,4068193,2,"V.D. Stanković"
"42","342775724",2657539101,4068193,1,"S.M. Šerbula"
"43","342790454",140070823,4068193,4,"R. Radojičič"
"44","342790454",1870340106,4068193,5,"Zorica Saičič"
"45","342790454",2029938523,4068193,3,"M. Spasić"
"46","342790454",2308359861,4068193,1,"V.M. Petrović"
"47","342790454",2650800765,4068193,2,"Biljana Milić"
"48","343447097",2915660622,NA,3,"Marija Mitković"
"49","343885226",2631981941,NA,1,"Любимов Вячеслав Владимирович"
"50","345133162",2336446020,NA,1,"Marko Malovic"
"51","345211530",2798277980,861853513,2,"D. Caratelli"
"52","348913707",1999684357,4068193,3,"Ksenija Jakovljevic"
"53","348913707",2623091260,4068193,4,"Jasmina Sinzar-Sekulic"
"54","348939771",1972971619,4068193,1,"M. Tadić"
"55","349514917",2141726320,4068193,2,"R. Zivanovic"
"56","349514917",2423714684,4068193,1,"M. Jaic"
"57","349662423",2250412577,4068193,2,"Marko Jelocnik"
"58","349662423",2569593567,4068193,3,"Vesna Popovic"
"59","355071808",73594474,4068193,3,"Goran Cirović"
"60","357670827",2128591383,NA,1,"Laura Audí"
"61","362555107",216195058,4068193,5,"Lazar Kričak"
"62","362555107",294214148,NA,1,"Ivana Bjelovuk"
"63","362555107",1517478886,4068193,2,"Slobodan Jaramaz"
"64","362555107",1517710656,4068193,4,"Dejan Micković"
"65","362555107",2078994989,4068193,3,"Predrag Elek"
"66","364267795",2158316549,NA,2,"Esed Karić"
"67","364807248",2655922567,NA,2,"R. Radovanović"
"68","364807248",2675068577,NA,1,"M. Tomašević"
"69","365036902",2078907714,71999127,2,"J Martí Ragué"
"70","366341886",2630231340,NA,1,"D. A. Zamurovitch"
"71","367269314",2009642532,4068193,3,"Marko Pejić"
"72","367269314",2475865331,4068193,1,"Branko Božić"
"73","367269314",2569515569,4068193,2,"Kornelija Ristić"
"74","367775621",2706627576,NA,1,"Токарев Владимир Федорович"
"75","372457636",2029917129,NA,1,"Jovan Maksimović"
"76","372457636",2579178362,NA,2,"Marko Maksimović"
"77","375624502",2126126471,NA,6,"A. D. Bogdanovic"
"78","375624502",2146128136,NA,7,"J Bila"
"79","375624502",2420446036,NA,4,"G. Jankovic"
"80","375624502",2513893460,NA,5,"N. Suvajdzic"
"81","375624502",2651998333,NA,3,"R. Colovic"
"82","376020322",173385552,NA,4,"Miroslav M. Vrvic"
"83","376020322",2037572686,NA,5,"Dragica M. Jakovljevic"
