"","PaperId","AuthorId","AffiliationId","AuthorSequenceNumber","OriginalAuthor"
"1","181397334",2106523284,4068193,1,"Darja Steiner Petrović"
"2","181519895",2722697558,NA,1,"S. D. Petković"
"3","181583397",458746472,NA,3,"Petar M. Seferović"
"4","181583397",2799647861,NA,2,"Arsen D. Ristić"
"5","181593588",2076631555,NA,8,"Jelić S"
"6","181593588",2629634845,NA,5,"Lukić"
"7","181593588",2642742738,NA,9,"Radulović S"
"8","181593588",2648766741,NA,7,"Mitrovic L"
"9","181593588",2655888102,NA,1,"Susnjar S"
"10","181593588",2672576422,NA,4,"Stamatović L"
"11","181593588",2681155118,NA,2,"Vasović S"
"12","181593588",2682660581,NA,3,"Nesković-Konstantinović Z"
"13","181593588",2704140782,NA,6,"Colaković S"
"14","181714652",712685514,861853513,1,"Francesco L. Chiera"
"15","182230576",1907620903,36169673,2,"Bernard Verger"
"16","182725183",2148228737,861853513,4,"Luca De Santis"
"17","183056454",2670691371,4068193,2,"N. S. Damjanov"
"18","183056454",2713546742,NA,1,"P. S. Ostojić"
"19","183079975",2081780348,4068193,1,"Danimir Mandic"
"20","183079975",2491197902,4068193,2,"Nada Vilotijevic"
"21","183162016",2159916035,199691007,1,"Nelson Roberto Manzoni de Oliveira"
"22","184350715",296109126,17974374,1,"Jose Vicente Caixeta-Filho"
"23","184657307",160204066,4068193,2,"Dimitrije Andrijevic"
"24","184657307",2103596658,4068193,1,"Mila Mrsevic"
"25","186547414",1984454093,4068193,1,"D. S. Mitrinović"
"26","186577568",2273683440,4068193,7,"Aleksandar Simić"
"27","187734112",47946092,4068193,1,"Uroš Krčadinac"
"28","187734112",1811149645,4068193,3,"Vladan Devedžić"
"29","187734112",2222988242,4068193,2,"Jelena Jovanović"
"30","187736042",2617012641,NA,4,"Predrag Janicic"
"31","187945840",2020399213,4068193,1,"Božica Bojović"
"32","187973454",2042683773,NA,1,"Saša Lazović"
"33","188224805",1970065438,4068193,3,"Dragorad Milovanovic"
"34","188224805",2058865964,4068193,1,"Zoran Bojkovic"
"35","188224805",2155216212,NA,2,"Zoran Milicevic"
"36","188402222",2037723318,4068193,2,"Alexandra Perovic"
"37","188445550",2097038728,NA,1,"Milenko Nikolić"
"38","188490530",2425596860,NA,1,"M. Todorović"
"39","188490530",2604166923,NA,3,"N. Kovačić"
"40","188490530",2640374877,NA,2,"N. Ikonomov"
"41","188490530",2697555634,NA,4,"M. Rekalić"
"42","188490530",2707069141,NA,5,"M. Perić"
"43","188808696",2075618757,4068193,1,"G. Vučković"
"44","188808696",2304933355,4068193,6,"G. Gojgić-Cvijović"
"45","188808696",2665784100,4068193,5,"D. D. Manojlović"
"46","189056476",2599780196,NA,3,"D. Hadžić"
"47","189056476",2641856727,NA,1,"M. Prokić"
"48","189056476",2689019146,NA,2,"S. Glodić"
"49","189149871",2038000208,NA,2,"Dejan Kukolj"
"50","189149871",2684251688,NA,1,"Dragan Mihajlovic"
"51","189177761",131296469,NA,2,"Vlajinac H"
"52","189177761",414912543,NA,5,"Diklic A"
"53","189177761",1861426195,NA,3,"Marinkovic J"
"54","189177761",2060159045,NA,4,"Paunovic I"
"55","189177761",2687786432,NA,6,"Dzodic R"
"56","189177761",2707494030,NA,1,"Zivaljevic"
"57","189194052",2276910607,199691007,1,"Edmar Ramos de Siqueira"
"58","189453971",2111998958,4068193,4,"Snežana Bogdanović"
"59","189453971",2134473808,4068193,1,"Miloš Marjanović"
"60","189453971",2466093324,4068193,3,"Biljana Abolmasov"
"61","189453971",2496042812,4068193,2,"Uroš Ðurić"
"62","189724957",124182945,4068193,1,"Slobodan N. Vukosavic"
"63","189726676",2061517101,4068193,1,"Veljko Milutinović"
"64","189961106",2109184444,NA,3,"D. S. Pesic"
"65","189961106",2196087805,4068193,2,"V. D. Bojovic"
"66","189961106",2746677320,4068193,1,"Ankica Antic-Jovanovic"
"67","191579654",188314963,4068193,2,"Mirko Dejic"
"68","191579654",2081780348,4068193,1,"Danimir Mandic"
"69","191592858",1992031922,NA,5,"Dan Meisel"
"70","191675414",1943639793,4068193,1,"J. Lukovic"
"71","191675414",2257153788,4068193,3,"V. Ducic"
"72","192114977",2137424981,NA,5,"Vera Popovic"
"73","192114977",2245401466,NA,2,"Dragana Miljic"
"74","192114977",2643709517,NA,1,"Predrag Miljic"
"75","192227313",2013311296,4068193,3,"I. P. Dojcinovic"
"76","192227313",2020915088,4068193,1,"M. M. Kuraica"
"77","192227313",2469522412,4068193,4,"J. Puric"
"78","192234009",2077773394,4068193,3,"Milan Milanović"
"79","192265237",1984454093,4068193,1,"D. S. Mitrinović"
