"","PaperId","AuthorId","AffiliationId","AuthorSequenceNumber","OriginalAuthor"
"1","175601",2054821058,4068193,3,"Dušan Malešev"
"2","175601",2093405148,4068193,1,"Vesna Kuntić"
"3","175601",2111896735,4068193,4,"Zorica Radović"
"4","175601",2156677776,4068193,2,"Slavica Blagojević"
"5","175601",2627201414,4068193,5,"Milica Bogavac"
"6","205406",681340731,4068193,2,"Menka Petkovska"
"7","205406",804664786,4068193,1,"Nikola M. Nikačević"
"8","1119550",1984454093,4068193,1,"D. S. Mitrinović"
"9","1283787",680706063,NA,1,"M. Rusić Stojiljković"
"10","1283787",2721257888,NA,2,"Lj. Rakić"
"11","1350078",2040642769,4068193,2,"Olga Atanackovic"
"12","1425625",2663038740,NA,1,"Zoran Samardija"
"13","1852997",2025507273,199691007,1,"Eduardo Delgado Assad"
"14","2565874",2318221897,NA,6,"Jorge Zambrano"
"15","3429437",1912009247,4068193,1,"A. Radović"
"16","3429437",2110028812,4068193,3,"Lj. Nedeljković"
"17","3429437",2651332553,4068193,2,"S. Sedmak"
"18","3440440",2700183737,NA,2,"A. Ćeramilac"
"19","3440440",2710292285,NA,1,"N. Sekulović"
"20","3553851",1993156886,NA,1,"Snezana Polovina"
"21","3553851",2137424981,4068193,2,"Vera Popovic"
"22","3553851",2467337129,4068193,4,"Natasa Milic"
"23","3553851",2906825955,4068193,5,"Dragan Micic"
"24","4019343",2303299377,4068193,1,"Slobodan N. Vukosavic"
"25","4158919",54083154,4068193,1,"M. Calović"
"26","4158919",2685374448,NA,3,"M. Djukanović"
"27","4186219",2651222710,NA,1,"R. Tomović"
"28","4195547",2633150530,861853513,1,"L. Giuliano"
"29","5568311",2019871903,4068193,5,"Dusan Gledic"
"30","5900771",685369990,NA,2,"Andreja V. Valčić"
"31","5900771",2441259479,NA,4,"Aleksandra D. Milutinović-Nikolić"
"32","5900771",2467759706,NA,3,"Slobodanka N. Nikolić"
"33","5900771",2803752852,NA,1,"Vesna J. Radojević"
"34","6424529",2897514656,NA,1,"P Escasany Serra"
"35","7389722",2107884770,861853513,2,"Toni Mancini"
"36","8472913",1989337360,4068193,2,"Marija Gavrović-Jankulović"
"37","8472913",2030838337,4068193,1,"Tanja Ćirković Veličković"
"38","8524533",1983588064,4068193,2,"Milivoj Dopsaj"
"39","8524533",2497447235,NA,1,"Jelena Ivanovic"
"40","8554176",2110440820,4068193,3,"Nebojša D. Nikolić"
"41","8554176",2114223711,4068193,2,"Predrag M. Živković"
"42","8554176",2574298663,4068193,1,"Konstantin I. Popov"
"43","8581557",2650691540,NA,1,"I. Holclajtner-Antunović"
"44","8581557",2653665864,NA,2,"V. Georgijević"
"45","8581557",2678174524,NA,3,"V. Vukanović"
"46","8596084",2117115010,4068193,3,"O. Aleksić"
"47","8596084",2919346418,4068193,4,"M. Luković"
"48","8722962",2188232216,4068193,2,"J. B. Radunović"
"49","8722962",2283852545,4068193,1,"P. S. Matavulj"
"50","8746114",2643031942,103481513,1,"Lyliane Le Naour-sene"
"51","9411132",1989337360,4068193,2,"Marija Gavrović-Jankulović"
"52","9411132",2030838337,4068193,1,"Tanja Ćirković Veličković"
"53","9671409",2597961610,NA,2,"M. Kaneko"
"54","9922840",2017462838,153976015,1,"Barbara Malic"
"55","10598231",2113321316,NA,2,"Vesna Jovanovic"
"56","10598231",2208159041,NA,1,"Mirko R Jankov"
"57","10598231",2569908865,NA,3,"Ljubisa Nikolic"
"58","11177499",2006480665,NA,1,"Mladen Stanojevic"
"59","11177499",2311599773,NA,2,"Sanja Vranes"
"60","11372772",2286503354,NA,2,"Nenad Radenkovic"
"61","11653780",189410137,861853513,1,"Roberto Baragona"
"62","12053904",458746472,NA,3,"Petar M. Seferović"
"63","12053904",2799647861,NA,2,"Arsen D. Ristić"
"64","12205854",2697466994,NA,1,"Boris Begovic"
"65","12217606",702215307,NA,4,"Siniša Radulović"
"66","12217606",1610953701,NA,6,"Ivan Spužić"
"67","12217606",2076631555,NA,5,"Svetislav Jelić"
"68","12217606",2607995513,NA,2,"Viktor Jović"
"69","12217606",2615816308,NA,1,"Gordana Konjević"
"70","12924119",2583263646,1323185340,1,"John Higgins"
"71","12930953",2677040727,4068193,2,"M. Komljenovic"
